wbs,bug_u,bug_c,bug_s
11AC2116170,0,0,0
11AC2117003,0,0,0
11FC117BS40,15,4,3
11AC2117018,55,13,0
11AC2117008,28,4,0
11AC2117016,3,0,0
11AC2116181,0,0,0
11FC217BS07,0,,1
11AC2117020,4,0,4
11FC117BS41,9,3,1
11FC117BS43,115,52,14
11AC2117038,1,0,0
11AC2117043,20,12,1
11FC117BS46,14,,17
11FC117BS47,29,,8
11FC217BS08,7,9,3
11FC117BS48,0,10,6
11AC2117056,0,0,0
11AC2117058,4,0,0
11AC2117071,12,4,2
11AC2117084,57,11,3
11FC117BS52,0,,1
11FC117BS50,20,1,4
11FC117BS53,12,,5
11FC117BS55,0,,10
11FC217BS09,16,6,3
11FC117BS57,20,,4
11AC2117112,6,1,0
11AC2117125,12,3,1
11FC117BS58,0,0,4
11FC117BS60,1,,0
11AC2117130,2,2,0
11AC2117123,1,0,0
11AC2117044,15,1,0
11AC2K17151,135,17,6
11AC2117055,16,4,3
11AC2117063,66,15,21
11AC2117069,30,15,35
11AC2117082,25,4,0
11AC2117100,3,0,3
11AC2917054,165,0,97
11AC2917055,56,65,8
11AC2117118,0,0,0
11AC2117137,1,0,0
11AC2117131,24,15,11
11AC2117136,5,1,3
11AC2117145,83,9,0
11AC2117148,1,0,0
11FC117BS61,0,,7
11FC117BS63,20,,17
11AC2117154,4,0,3
11FC117BS67,0,,1
11FC117BS68,3,,7
11AC2117166,57,9,3
11FC117BS66,13,3,6
11AC2117178,3,1,0
11FC117BS72,1,,4
11AC2117186,0,0,0
11AC2117187,12,1,0
11FC117BS19,1206,75,156
11AC2117031,22,0,10
11AC2917023,19,5,37
11AC2117079,21,2,1
11AC2117093,19,4,3
11AC2117124,14,2,0
11AC2117126,19,4,0
11AC2117135,34,2,1
11AC2117141,0,0,0
11AC2117147,100,4,10
11AC2117153,7,1,3
11AC2117160,1,0,0
11AC2117161,82,7,3
11FC117BS64_11FC117BS65,42,11,13
11FC117BS74,2,,2
11AC2117033-11AC2117110,45,8,1
11FC217BS05-11FC217BS10,15,,8
11AC2117050,228,14,287
11AC2117116,38,4,4
11AC2117185,0,0,
11AC2117122,33,17,4
11FC117BS59,8,7,2
11AC2117133,9,1,0
11FC117BS70,0,0,3
11FC117BS73,26,6,7
11AC2117196,42,7,16
11AC2117208,0,0,0
11FC118BS37,2,,0
11FC118BS38,2,,1
11FC118BS40,13,,3
11AC2117001-11AC2117070,88,11,0
11FC117BS42-11FC117BS56,332,60,41
11FC117BS49-11FC117BS49-2120,41,18,59
11AC2117085-11AC2117156,12,6,43
11FC117BS69,72,17,13
11FC117BS71,37,,11
11AC2917086,192,57,72
11AC2117204,26,3,2
11AC2117217,9,1,1
11FC118BS31,5,,1
11FC118BS35,1,,2
11AC2118006,0,1,0
11AC2118005,13,5,1
11FY518BS07,0,,0
11AC2918007,18,2,2
11FC118BS42,0,,0
11FC218BS03,0,0,0
11AC2118017,0,0,0
11AC2118012,1,0,0
11FC118BS44,0,,0
11FC118BS45,2,,3
11AC2118025,11,0,0
11AC2118031,0,0,0
11AC2118030,10,4,3
11AC2118040,0,0,0
11FY518BS08,2,1,0
11AC2118046,0,0,0
11FC118BS49,0,,2
11FC118BS50,0,,1
11AC2118064,1,0,0
11AC2118043,5,0,0
11AC2118071,2,0,0
11FC218BS04,0,,4
11FC218BS05,0,,0
11FC118BS56,10,,0
11FC118BS36,7,,1
11FC118BS33,1,,4
11FC118BS34,1,,1
11AC2117015-11AC2117080-11AC2117138,112,78,5
11AC2117024-11AC2117086-11AC2117170,21,22,8
11AC2117171-11AC2118001,31,13,35
