wbs,check_o,check_i,check_cd,check_u,check_c,check_s
11AC2116170,,7,0,0,,0
11AC2117003,,0,,,0,0
11FC117BS40,57,67,2,15,4,2
11AC2117018,81,91,24,,,
11AC2117008,36,36,,,,
11AC2117016,2,8,,1,,
11AC2116181,7,4,2,,,
11FC217BS07,5,0,7,7,,0
11AC2117022,3,12,,13,32,
11AC2117021,,18,,,,
11AC2117020,,7,,,,
11FC117BS41,31,33,,67,9,8
11FC117BS43,172,135,,8,0,0
11AC2917004,8,0,,,,
11AC2117038,12,16,,,,0
11AC2117043,210,210,,,,
11FC117BS46,8,40,,7,,13
11FC117BS47,32,37,,,,3
11FC217BS08,0,11,,,,
11FC117BS48,33,6,,,16,5
11AC2117056,,2,,3,,
11AC2117060,1,0,,,,
11AC2117058,5,25,,19,,1
11AC2117049,,0,,,,
11AC2117071,26,19,,,,
11AC2117084,11,82,,85,50,6
11FC117BS50,13,4,,,,
11AC2117091,,6,,18,0,
11FC117BS53,0,4,,2,,5
11FC117BS55,67,3,,0,,9
11AC2117119,,0,,0,2,
11FC217BS09,59,13,,,,
11FC117BS57,0,25,,2,,0
11AC2117112,13,4,,,,
11AC2117125,20,9,,,,
11FC117BS58,1,0,,,,
11FC117BS60,4,38,3,4,,2
11AC2117130,7,10,,,,
11AC2117123,15,83,,,,
11AC2117044,,31,,,,
11AC2117037,23,94,,,,
11AC2K17151,480,870,,,,
11AC2117055,90,112,,,,2
11AC2117063,173,150,,,,0
11AC2117069,38,115,,,,6
11AC2917040,45,69,,,,
11AC2117082,0,74,0,,,
11AC2117096,,10,,22,16,
11AC2117100,,22,,,,
11AC2917054,116,94,,,,0
11AC2917055,,52,,,,
11AC2117118,29,4,,,,
11AC2117137,74,54,,,,0
11AC2117131,81,55,,,,
11AC2117136,35,42,,,,
11AC2117143,5,15,,,,
11AC2117145,37,103,,,,0
11AC2117148,4,4,,3,4,5
11FC117BS61,15,19,,,,
11FC117BS63,10,36,,,,
11AC2117154,14,21,,,,
11FC117BS67,2,3,,,,
11FC117BS68,4,2,,18,,1
11AC2117166,149,15,,,,
11FC117BS66,9,2,,,,
11AC2117178,28,16,1,,,
11FC117BS72,4,0,,0,,1
11AC2117186,6,5,,3,2,0
11AC2117187,5,19,,3,1,3
11FC117BS19,410,180,,,40,0
11AC2117031,87,99,,,27,5
11AC2917023,57,27,,,,
11AC2117079,100,156,,,,
11AC2117093,98,105,,,,1
11AC2117102,,43,,50,95,
11AC2117124,2,24,,41,,
11AC2117126,1,43,,,,
11AC2117134,24,8,,,,
11AC2117135,0,9,,,,
11AC2117141,0,0,,,,
11AC2117147,30,19,,48,8,7
11AC2117153,,33,,,,
11AC2117157,5,8,,20,,
11AC2117160,,8,,3,3,0
11AC2117161,24,42,,,,
11FC117BS64_11FC117BS65,35,37,,,,
11AC2117185,,9,,21,43,
11FC117BS74,0,0,,,,
11AC2117033-11AC2117110,,79,,,,
11FC217BS05-11FC217BS10,57,16,,,,
11AC2117050,,595,,,,
11AC2117116,74,48,,,,
11AC2117122,76,44,,,,
11FC117BS59,12,25,,9,9,18
11AC2117133,22,40,,,,
11FC117BS70,6,0,,,0,
11AC2117175,2,7,,,,
11AC2117190,,10,,1,,
11FC117BS73,10,24,3,2,2,
11AC2117196,39,79,,,,
11AC2117208,2,1,,,,
11FC118BS37,0,0,,,,
11FC118BS38,2,0,,,,
11FC118BS40,4,5,,25,,3
11AC2117001-11AC2117070,49,27,,,,
11FC117BS42-11FC117BS56,215,128,,,,
11FC117BS49-11FC117BS49-2120,103,232,,,,
11AC2117085-11AC2117156,178,78,,,,
11FC117BS69,119,84,,,1,0
11FC117BS71,25,27,,4,,1
11AC2917086,206,,,9,2,1
11AC2117204,74,34,,,,
11AC2117217,21,28,,,,
11FC118BS31,2,0,,,,
11FC118BS35,2,2,,,,
11AC2118006,40,8,,,,
11AC2118005,9,4,,,,
11FY518BS07,21,10,,,,1
11AC2918007,,66,,,,
11FC118BS42,3,0,,6,,
11FC218BS03,6,1,,,,
11AC2118017,,0,,,,
11AC2118012,1,6,,,,
11AC2118026,63,53,,11,3,
11FC118BS44,23,23,,59,,3
11FC118BS45,5,6,,11,,10
11AC2118025,42,16,,2,,
11AC2118031,10,9,,,,
11AC2118030,31,22,,,,
11AC2118040,3,1,,0,0,0
11FY518BS08,2,5,,,,0
11AC2118046,,0,,,,
11FC118BS49,0,0,,,,
11FC118BS50,3,4,,,,0
11AC2118064,1,6,,,,
11AC2118043,15,5,,0,10,
11AC2118071,108,33,,,,
11AC2918034,,5,,14,4,
11FC218BS04,6,2,,,,0
11FC218BS05,4,,,,,0
11FC118BS56,1,5,,,,
11FC118BS36,0,3,,,,
11FC118BS33,0,7,,,,
11FC118BS34,5,7,,,,
11AC2117015-11AC2117080-11AC2117138,205,233,,,,
11AC2117024-11AC2117086-11AC2117170,63,99,,,,
11AC2117171-11AC2118001,582,143,,,,
