wbs,cost_i,cost_e,term
11AC2116170,1.6,0,3
11AC2117003,4.9,4.9,7
11FC117BS40,1.2,6.5,3
11AC2117018,10.2,22.6,5
11AC2117008,4.4,7.9,3
11AC2117016,5,4.8,6
11AC2116181,2,9.1,3
11FC217BS07,0.3675,2.2575,3
11AC2117022,1.7,4,6
11AC2117021,1.6,3.3,2
11AC2117020,1.2,2.8,2
11FC117BS41,1.55,8.95,4
11FC117BS43,5.8,31.2,4
11AC2917004,0.5,2,4
11AC2117038,2.5,1.8,4
11AC2117043,4,26.8,4
11FC117BS46,1.1,5.3,3
11FC117BS47,1.2,9.3,5
11FC217BS08,0.2,4.5,3
11FC117BS48,1.8,8,5
11AC2117056,0.7,1,5
11AC2117060,1,3,2
11AC2117058,2.5,16.1,5
11AC2117049,0.5,0.5,2
11AC2117071,8,22,5
11AC2117084,5,22.6,5
11FC117BS52,0.4,0.9,2
11FC117BS50,0.6,4.4,2
11AC2117091,2.4,0.75,4
11FC117BS53,0.35,1.65,1
11FC117BS55,3.5,6.4,3
11AC2117119,0.1,0.4,2
11FC217BS09,0.5,3,2
11FC117BS57,0.6,3.2,2
11AC2117112,8,10,4
11AC2117125,1,5,3
11FC117BS58,0.3,0.7,2
11FC117BS60,0.4,1.6,2
11AC2117130,2.3,3.7,3
11AC2117123,4.4,6,4
11AC2117044,3.4,9.1,8
11AC2117037,23.1,10.9,9
11AC2K17151,36.6,130.8,9
11AC2117055,18.9,12.2,7
11AC2117063,7.6,24.2,7
11AC2117069,7.8,23.7,8
11AC2917040,14.2,8.5,8
11AC2117082,7.4,15.1,7
11AC2117096,1.1,3.5,7
11AC2117100,1.5,8.2,5
11AC2917054,8,10,7
11AC2917055,12,14,7
11AC2117118,4.6,6.3,5
11AC2117137,6.1,0,5
11AC2117131,4,22.2,5
11AC2117136,4.6,18.1,4
11AC2117143,4.1,11,4
11AC2117145,6.6,21.4,4
11AC2117148,8.5,21.5,2
11FC117BS61,0.5,3.7,4
11FC117BS63,2.3,10.3,4
11AC2117154,1.8,6.2,4
11FC117BS67,0.4,1.6,3
11FC117BS68,1.2,6.3,3
11AC2117166,4.6,23.9,3
11FC117BS66,0.7,8.2,2
11AC2117178,3,20.4,3
11FC117BS72,0.15,1.1,1
11AC2117186,4.5,24.5,3
11AC2117187,2.6,35.9,3
11FC117BS19,16,240,12
11AC2117031,8.6,17.8,9
11AC2917023,5.9,13.3,12
11AC2117079,9.9,22,8
11AC2117093,9.1,18.1,8
11AC2117102,6.2,10.8,7
11AC2117124,0.7,5.4,6
11AC2117126,1.4,6,6
11AC2117134,0.6,1.4,6
11AC2117135,0.9,2.2,6
11AC2117141,11.5,18.9,5
11AC2117147,6.6,34.8,5
11AC2117153,2.4,9.5,5
11AC2117157,2,12.6,5
11AC2117160,2.7,4.9,6
11AC2117161,5.1,44.3,4
11FC117BS64_11FC117BS65,1.09,10,4
11AC2117185,0.5,2.2,3
11FC117BS74,0.5,1.4,2
11AC2117033-11AC2117110,3.5,22.5,8
11FC217BS05-11FC217BS10,1.3,10.4,11
11AC2117050,20.1,119.8,9
11AC2117116,4.5,27.1,8
11AC2117122,3.3,27.7,6
11FC117BS59,1.4,10.6,7
11AC2117133,16.5,29,6
11FC117BS70,1,24,5
11AC2117175,1.1,4.7,5
11AC2117190,7.6,12.7,4
11FC117BS73,1.3,10.2,3
11AC2117196,3.5,4.2,4
11AC2117208,3.2,6.7,3
11FC118BS37,0.3,0.9,1
11FC118BS38,0.1,0.6,2
11FC118BS40,0.9,6.1,2
11AC2117001-11AC2117070,19.8,20.8,16
11FC117BS42-11FC117BS56,3.4,31.8,12
11FC117BS49-11FC117BS49-2120,6.4,34.4,9
11AC2117085-11AC2117156,10.1,20,10
11FC117BS69,3,31.8,7
11FC117BS71,1.5,11.3,7
11AC2917086,13.27,0,7
11AC2117204,8.4,15.4,7
11AC2117217,5.6,4.4,4
11FC118BS31,0.31,1.3,4
11FC118BS35,0.7,2.8,3
11AC2118006,1.5,3,3
11AC2118005,1.1,4.8,15
11FY518BS07,0.8,3.4,3
11AC2918007,7.5,11.5,7
11FC118BS42,0.3,0.9,3
11FC218BS03,0.5,1.4,3
11AC2118017,2,1,4
11AC2118012,1.9,7.9,3
11AC2118026,2.8,36.8,6
11FC118BS44,1.1,7.5,5
11FC118BS45,0.4,2.4,2
11AC2118025,2.7,8.6,3
11AC2118031,5.2,5.3,4
11AC2118030,3.7,14.8,4
11AC2118040,0.9,0,2
11FY518BS08,0.6,7.2,4
11AC2118046,2.2,4,5
11FC118BS49,0.6,2.4,2
11FC118BS50,0.4,1.6,3
11AC2118064,2.5,11.3,2
11AC2118043,3.62,10.28,4
11AC2118071,11.5,12,4
11AC2918034,2,4.5,5
11FC218BS04,0.5,1.5,3
11FC218BS05,0.5,1.5,3
11FC118BS56,0.9,4.5,2
11FC118BS36,0.4,1.6,4
11FC118BS33,0.4,1.4,4
11FC118BS34,0.4,1.6,4
11AC2117015-11AC2117080-11AC2117138,23.5,102,13
11AC2117024-11AC2117086-11AC2117170,19.1,45.4,16
11AC2117171-11AC2118001,6.4,32.8,9
